location,path,point,time,latitude,longitude,wrong-coord,distance
BS,BS,0,,50.8619788,4.6855844,1,0
A1 (ESAT),A,1,13 08 45,50.8619647,4.6857329,1,17.13085423
A2,A,2,13 10 45,50.8618826,4.68576293,,8.185974831
A3,A,3,13 13 55,50.8618567,4.6855617,,16.8420435
A4,A,4,13 15 35,50.8617615,4.6854708,,26.61930482
A5,A,5,13 16 55,50.8616854,4.6853701,,36.13301188
A6,A,6,13 18 45,50.8616131,4.6852771,,44.51736042
A7,A,7,13 21 35,,,,54.63770333
A8,A,8,13 23 25,,,,65.22697978
A9,A,9,13 25 00,,,,75.38310182
A10,A,10,13 49 50,,,,68.93560939
A11,A,11,13 51 10,,,,80.81458433
A12,A,12,13 52 55,,,,92.87330205
A13,A,13,13 54 10,,,,101.0682467
A14,A,14,13 55 40,,,,112.0251215
C1 (straatkant),C,1,13 26 45,,,,87.80053385
C2,C,2,13 28 00,,,,81.7973349
C3,C,3,13 29 15,,,,78.31295291
C4,C,4,13 30 50,,,,74.3590226
C5,C,5,13 32 15,,,,71.99068101
C6,C,6,13 34 35,,,,68.06576866
C7,C,7,13 35 50,,,,70.99446871
C8,C,8,13 37 40,,,,72.46981262
C9,C,9,13 38 55,,,,76.05198366
C10,C,10,13 40 25,,,,80.27401751
C11,C,11,13 41 40,,,,85.64384286
C12,C,12,13 42 55,,,,90.9503052
C13,C,13,13 44 35,,,,98.36903291
C14 (kasteel),C,14,13 45 45,,,,104.379157
D1 (the lodge),D,1,13 58 40,,,,66.56539124
D2,D,2,14 00 35,,,,69.55603804
D3,D,3,14 01 50,,,,74.73963825
D4,D,4,14 03 30,,,,80.13790634
B1 (straatkant),B,1,14 06 15,,,,47.65683408
B2,B,2,14 07 50,,,,39.54526934
B3,B,3,14 10 30,,,,32.67019838
B4,B,4,14 12 50,,,,27.18978864
B5,B,5,14 14 30,,,,17.72103973
B6,B,6,14 15 45,,,,15.94644277
B7,B,7,14 17 10,,,,19.09318969
B8,B,8,14 18 40,,,,21.0171388
B9,B,9,14 20 15,,,,31.34716824
B10,B,10,14 21 35,,,,40.14923687
B11,B,11,14 23 10,50.8622757,4.6850522,,49.94887973
B12,B,12,14 24 25 ,50.8623268,4.6849453,,59.35811853
B13,B,13,14 25 35,50.8623898,4.6848591,,68.54296035
B14,B,14,14 26 50,50.8624633,4.6847433,,80.07381753
B15,B,15,14 28 00,50.8625272,4.6846605,,89.1798288
B16,B,16,14 29 25,50.8626019,4.6845575,,100.1600639
B17,B,17,14 30 45,50.862686,4.6844854,,110.3465815
B18,B,18,14 32 25,50.8627569,4.6843889,,120.7358893
B19 (kasteel),B,19,14 35 55,50.8628484,4.6842926,,132.7789419
