location,path,point,time,latitude,longitude,wrong-coord,distance
BS,BS,0,,50.8619788,4.6855844,1.0,0.0
A1 (ESAT),A,1,13 08 45,50.8619647,4.6857329,,17.13085423
A2,A,2,13 10 45,50.8619136,4.6856383,,8.185974831452276
A3,A,3,13 13 55,50.8618288,4.685552,,16.842043500125225
A4,A,4,13 15 35,50.8617457,4.685499,,26.61930481917593
A5,A,5,13 16 55,50.8616782,4.68539,,36.133011882116456
A6,A,6,13 18 45,50.8616263,4.6852851,,44.517360420802916
A7,A,7,13 21 35,50.8615607,4.6851772,,54.637703327610254
A8,A,8,13 23 25,50.8614986,4.6850528,,65.22697978261307
A9,A,9,13 25 00,50.8614297,4.684957,,75.38310182090842
A10,A,10,13 49 50,50.8615562,4.6848683,,68.93560938940169
A11,A,11,13 51 10,50.861509,4.6847089,,80.81458432627639
A12,A,12,13 52 55,50.8614449,4.6845703,,92.87330205213647
A13,A,13,13 54 10,50.8614041,4.6844726,,101.06824674413043
A14,A,14,13 55 40,50.861347,4.6843454,,112.02512151387279
C1 (straatkant),C,1,13 26 45,50.8612246,4.6852169,,87.80053384717657
C2,C,2,13 28 00,50.861297,4.6851494,,81.79733490200263
C3,C,3,13 29 15,50.8613554,4.6850677,,78.31295290806204
C4,C,4,13 30 50,50.861425,4.684993,,74.35902260145362
C5,C,5,13 32 15,50.8614945,4.6849062,,71.99068101260474
C6,C,6,13 34 35,50.8615681,4.6848678,,68.06576866113143
C7,C,7,13 35 50,50.8616268,4.6847433,,70.9944687085454
C8,C,8,13 37 40,50.8617138,4.6846441,,72.46981262120633
C9,C,9,13 38 55,50.8617827,4.6845496,,76.05198365900056
C10,C,10,13 40 25,50.8618447,4.6844641,,80.27401751456006
C11,C,11,13 41 40,50.8619154,4.6843721,,85.64384285685232
C12,C,12,13 42 55,50.8619804,4.6842926,,90.95030520428111
C13,C,13,13 44 35,50.8620526,4.6841921,,98.36903290664839
C14 (kasteel),C,14,13 45 45,50.8621283,4.6841208,,104.37915699038619
D1 (the lodge),D,1,13 58 40,50.8614528,4.6860351,,66.5653912440705
D2,D,2,14 00 35,50.8613882,4.6859087,,69.55603804258065
D3,D,3,14 01 50,50.8613252,4.6858301,,74.73963824884429
D4,D,4,14 03 30,50.8612604,4.6856685,,80.13790633967089
B1 (straatkant),B,1,14 06 15,50.8615925,4.685877,,47.65683408022969
B2,B,2,14 07 50,50.8616422,4.685765,,39.54526933852968
B3,B,3,14 10 30,50.8616928,4.6856898,,32.670198384300036
B4,B,4,14 12 50,50.8617345,4.6855961,,27.18978863666544
B5,B,5,14 14 30,50.8618243,4.6855231,,17.721039726743417
B6,B,6,14 15 45,50.8618802,4.68542,,15.946442772940848
B7,B,7,14 17 10,50.8619484,4.6853175,,19.093189692569535
B8,B,8,14 18 40,50.8620443,4.6853044,,21.017138800936422
B9,B,9,14 20 15,50.8621278,4.6852065,,31.347168236727306
B10,B,10,14 21 35,50.8621894,4.6851213,,40.14923686696992
B11,B,11,14 23 10,50.8622757,4.6850522,,49.94887972672094
B12,B,12,14 24 25 ,50.8623268,4.6849453,,59.35811853264281
B13,B,13,14 25 35,50.8623898,4.6848591,,68.5429603492724
B14,B,14,14 26 50,50.8624633,4.6847433,,80.07381752505911
B15,B,15,14 28 00,50.8625272,4.6846605,,89.17982880091714
B16,B,16,14 29 25,50.8626019,4.6845575,,100.16006394630621
B17,B,17,14 30 45,50.862686,4.6844854,,110.34658154306072
B18,B,18,14 32 25,50.8627569,4.6843889,,120.73588928495495
B19 (kasteel),B,19,14 35 55,50.8628484,4.6842926,,132.77894186793648
