Theta            Phi               dBi                 abs_theta              phase_theta      abs_phi                phase_phi         ax_ratio
-180.000         -90.000           -4.197e+00          -5.976e+01             155.485          -4.197e+00             222.007           4.000e+01     
-175.000         -90.000           -4.276e+00          -4.216e+01             232.597          -4.277e+00             222.097           4.000e+01     
-170.000         -90.000           -4.522e+00          -3.633e+01             237.210          -4.525e+00             222.428           4.000e+01     
-165.000         -90.000           -4.941e+00          -3.295e+01             239.640          -4.948e+00             223.014           3.888e+01     
-160.000         -90.000           -5.545e+00          -3.062e+01             241.689          -5.559e+00             223.875           3.537e+01     
-155.000         -90.000           -6.350e+00          -2.887e+01             243.703          -6.375e+00             225.044           3.244e+01     
-150.000         -90.000           -7.385e+00          -2.750e+01             245.782          -7.428e+00             226.578           2.981e+01     
-145.000         -90.000           -8.693e+00          -2.640e+01             247.959          -8.767e+00             228.572           2.734e+01     
-140.000         -90.000           -1.034e+01          -2.549e+01             250.242          -1.048e+01             231.212           2.499e+01     
-135.000         -90.000           -1.245e+01          -2.474e+01             252.634          -1.272e+01             234.916           2.283e+01     
-130.000         -90.000           -1.521e+01          -2.409e+01             255.131          -1.582e+01             240.833           2.157e+01     
-125.000         -90.000           -1.878e+01          -2.353e+01             257.729          -2.056e+01             253.469           2.909e+01     
-120.000         -90.000           -2.173e+01          -2.304e+01             260.418          -2.758e+01             302.925           9.670e+00     
-115.000         -90.000           -1.969e+01          -2.260e+01             263.182          -2.280e+01              18.599           3.992e+00     
-110.000         -90.000           -1.595e+01          -2.219e+01             265.996          -1.712e+01              37.436           8.866e+00     
-105.000         -90.000           -1.292e+01          -2.181e+01             268.828          -1.352e+01              45.269           1.222e+01     
-100.000         -90.000           -1.054e+01          -2.145e+01             271.637          -1.091e+01              50.243           1.457e+01     
 -95.000         -90.000           -8.598e+00          -2.110e+01             274.383          -8.849e+00              54.085           1.634e+01     
 -90.000         -90.000           -6.944e+00          -2.078e+01             277.023          -7.127e+00              57.352           1.777e+01     
 -85.000         -90.000           -5.490e+00          -2.047e+01             279.525          -5.630e+00              60.267           1.899e+01     
 -80.000         -90.000           -4.182e+00          -2.020e+01             281.863          -4.292e+00              62.930           2.008e+01     
 -75.000         -90.000           -2.987e+00          -1.998e+01             284.022          -3.074e+00              65.392           2.111e+01     
 -70.000         -90.000           -1.881e+00          -1.981e+01             285.997          -1.952e+00              67.676           2.210e+01     
 -65.000         -90.000           -8.540e-01          -1.971e+01             287.789          -9.109e-01              69.794           2.308e+01     
 -60.000         -90.000            1.020e-01          -1.969e+01             289.406           5.622e-02              71.752           2.409e+01     
 -55.000         -90.000            9.898e-01          -1.977e+01             290.859           9.532e-01              73.553           2.512e+01     
 -50.000         -90.000            1.810e+00          -1.997e+01             292.156           1.781e+00              75.199           2.621e+01     
 -45.000         -90.000            2.561e+00          -2.030e+01             293.309           2.539e+00              76.690           2.736e+01     
 -40.000         -90.000            3.243e+00          -2.079e+01             294.322           3.225e+00              78.027           2.859e+01     
 -35.000         -90.000            3.851e+00          -2.147e+01             295.202           3.838e+00              79.207           2.994e+01     
 -30.000         -90.000            4.384e+00          -2.238e+01             295.945           4.375e+00              80.233           3.145e+01     
 -25.000         -90.000            4.840e+00          -2.360e+01             296.544           4.834e+00              81.102           3.318e+01     
 -20.000         -90.000            5.216e+00          -2.524e+01             296.980           5.213e+00              81.814           3.525e+01     
 -15.000         -90.000            5.511e+00          -2.749e+01             297.207           5.509e+00              82.369           3.786e+01     
 -10.000         -90.000            5.722e+00          -3.082e+01             297.087           5.721e+00              82.766           4.000e+01     
  -5.000         -90.000            5.848e+00          -3.669e+01             295.933           5.848e+00              83.005           4.000e+01     
   0.000         -90.000            5.889e+00          -6.288e+01             218.081           5.889e+00              83.085           4.000e+01     
   5.000         -90.000            5.845e+00          -3.681e+01             121.559           5.845e+00              83.006           4.000e+01     
  10.000         -90.000            5.716e+00          -3.085e+01             119.988           5.715e+00              82.770           4.000e+01     
  15.000         -90.000            5.503e+00          -2.748e+01             119.223           5.501e+00              82.375           3.743e+01     
  20.000         -90.000            5.207e+00          -2.520e+01             118.554           5.203e+00              81.822           3.487e+01     
  25.000         -90.000            4.831e+00          -2.355e+01             117.839           4.824e+00              81.113           3.285e+01     
  30.000         -90.000            4.375e+00          -2.232e+01             117.031           4.366e+00              80.247           3.115e+01     
  35.000         -90.000            3.844e+00          -2.139e+01             116.111           3.831e+00              79.224           2.967e+01     
  40.000         -90.000            3.238e+00          -2.071e+01             115.067           3.220e+00              78.046           2.836e+01     
  45.000         -90.000            2.560e+00          -2.022e+01             113.898           2.537e+00              76.712           2.716e+01     
  50.000         -90.000            1.812e+00          -1.989e+01             112.597           1.783e+00              75.222           2.604e+01     
  55.000         -90.000            9.962e-01          -1.969e+01             111.161           9.590e-01              73.577           2.499e+01     
  60.000         -90.000            1.131e-01          -1.962e+01             109.583           6.662e-02              71.776           2.399e+01     
  65.000         -90.000           -8.380e-01          -1.964e+01             107.858          -8.956e-01              69.819           2.302e+01     
  70.000         -90.000           -1.860e+00          -1.974e+01             105.981          -1.931e+00              67.706           2.206e+01     
  75.000         -90.000           -2.960e+00          -1.992e+01             103.949          -3.048e+00              65.433           2.109e+01     
  80.000         -90.000           -4.150e+00          -2.015e+01             101.758          -4.261e+00              62.993           2.009e+01     
  85.000         -90.000           -5.452e+00          -2.043e+01              99.412          -5.592e+00              60.366           1.902e+01     
  90.000         -90.000           -6.900e+00          -2.074e+01              96.914          -7.083e+00              57.513           1.783e+01     
  95.000         -90.000           -8.549e+00          -2.109e+01              94.275          -8.798e+00              54.341           1.645e+01     
 100.000         -90.000           -1.049e+01          -2.146e+01              91.506          -1.085e+01              50.646           1.473e+01     
 105.000         -90.000           -1.287e+01          -2.185e+01              88.629          -1.345e+01              45.911           1.246e+01     
 110.000         -90.000           -1.591e+01          -2.226e+01              85.667          -1.705e+01              38.526           9.212e+00     
 115.000         -90.000           -1.974e+01          -2.270e+01              82.655          -2.279e+01              20.821           4.454e+00     
 120.000         -90.000           -2.197e+01          -2.317e+01              79.634          -2.812e+01             303.959           9.562e+00     
 125.000         -90.000           -1.896e+01          -2.368e+01              76.655          -2.075e+01             252.742           2.982e+01     
 130.000         -90.000           -1.531e+01          -2.425e+01              73.782          -1.590e+01             240.448           2.222e+01     
 135.000         -90.000           -1.252e+01          -2.489e+01              71.078          -1.278e+01             234.766           2.362e+01     
 140.000         -90.000           -1.039e+01          -2.564e+01              68.615          -1.052e+01             231.212           2.584e+01     
 145.000         -90.000           -8.733e+00          -2.653e+01              66.462          -8.806e+00             228.668           2.815e+01     
 150.000         -90.000           -7.421e+00          -2.761e+01              64.681          -7.463e+00             226.729           3.044e+01     
 155.000         -90.000           -6.383e+00          -2.896e+01              63.336          -6.407e+00             225.219           3.274e+01     
 160.000         -90.000           -5.573e+00          -3.070e+01              62.501          -5.586e+00             224.046           3.513e+01     
 165.000         -90.000           -4.964e+00          -3.304e+01              62.313          -4.971e+00             223.161           3.776e+01     
 170.000         -90.000           -4.538e+00          -3.645e+01              63.154          -4.541e+00             222.536           4.000e+01     
 175.000         -90.000           -4.284e+00          -4.240e+01              66.949          -4.285e+00             222.153           4.000e+01     
-180.000         -85.000           -4.197e+00          -2.546e+01              43.016          -4.230e+00             222.000           4.000e+01     
-175.000         -85.000           -4.245e+00          -2.675e+01              41.587          -4.270e+00             223.390           4.000e+01     
-170.000         -85.000           -4.468e+00          -2.837e+01              38.832          -4.486e+00             224.975           4.000e+01     
-165.000         -85.000           -4.873e+00          -3.040e+01              33.432          -4.885e+00             226.727           3.831e+01     
-160.000         -85.000           -5.470e+00          -3.285e+01              22.620          -5.478e+00             228.620           3.455e+01     
-155.000         -85.000           -6.279e+00          -3.517e+01               1.597          -6.284e+00             230.624           3.133e+01     
-150.000         -85.000           -7.329e+00          -3.559e+01             331.266          -7.335e+00             232.699           2.835e+01     
-145.000         -85.000           -8.670e+00          -3.369e+01             307.412          -8.684e+00             234.788           2.541e+01     
-140.000         -85.000           -1.039e+01          -3.133e+01             295.064          -1.042e+01             236.789           2.233e+01     
-135.000         -85.000           -1.263e+01          -2.933e+01             289.487          -1.272e+01             238.502           1.887e+01     
-130.000         -85.000           -1.569e+01          -2.774e+01             287.410          -1.597e+01             239.383           1.460e+01     
-125.000         -85.000           -2.015e+01          -2.649e+01             287.286          -2.130e+01             237.133           8.680e+00     
